Name,Start,End,Hours,Hours formatted,Amount USD,Unpaid break start,Unpaid break end,Unpaid breaks,Unpaid breaks formatted
Emma Johnson,"Wednesday, May 15th 2024, 12:44 PM","Wednesday, May 15th 2024, 12:44 PM",0,0:00,0,-,-,0,0:00
Emma Johnson,"Tuesday, May 21st 2024, 10:10 AM","Tuesday, May 21st 2024, 5:52 PM",7.7,7:42,92.4,"Tuesday, May 21st 2024, 12:30 PM","Tuesday, May 21st 2024, 1:00 PM",0.5,0:30
Emma Johnson,"Wednesday, May 22nd 2024, 10:23 AM","Wednesday, May 22nd 2024, 6:11 PM",7.79,7:47,93.48,"Wednesday, May 22nd 2024, 12:45 PM","Wednesday, May 22nd 2024, 1:15 PM",0.5,0:30
Emma Johnson,"Thursday, May 23rd 2024, 6:01 PM","Thursday, May 23rd 2024, 6:01 PM",0.01,0:00,0.12,-,-,0,0:00
Emma Johnson,"Thursday, May 16th 2024, 9:29 AM","Thursday, May 16th 2024, 2:35 PM",5.09,5:05,61.08,"Thursday, May 16th 2024, 11:00 AM","Thursday, May 16th 2024, 11:30 AM",0.5,0:30
Emma Johnson,"Friday, May 17th 2024, 9:37 AM","Friday, May 17th 2024, 3:59 PM",6.36,6:21,76.32,"Friday, May 17th 2024, 11:45 AM","Friday, May 17th 2024, 12:15 PM",0.5,0:30
Emma Johnson,"Sunday, May 19th 2024, 9:22 AM","Sunday, May 19th 2024, 2:49 PM",5.45,5:27,65.4,-,-,0,0:00
Emma Johnson,"Monday, May 20th 2024, 2:24 PM","Monday, May 20th 2024, 7:08 PM",4.73,4:43,56.76,"Monday, May 20th 2024, 4:00 PM","Monday, May 20th 2024, 4:30 PM",0.5,0:30
Emma Johnson,"Tuesday, May 21st 2024, 9:25 AM","Tuesday, May 21st 2024, 2:34 PM",5.14,5:08,61.68,"Tuesday, May 21st 2024, 11:00 AM","Tuesday, May 21st 2024, 11:30 AM",0.5,0:30
Mia A.,"Wednesday, May 15th 2024, 2:30 PM","Wednesday, May 15th 2024, 7:05 PM",4.58,4:34,50.38,"Wednesday, May 15th 2024, 4:15 PM","Wednesday, May 15th 2024, 4:45 PM",0.5,0:30
Mia A.,"Thursday, May 16th 2024, 9:39 AM","Thursday, May 16th 2024, 2:37 PM",4.97,4:58,54.67,-,-,0,0:00
Mia A.,"Sunday, May 19th 2024, 9:40 AM","Sunday, May 19th 2024, 3:09 PM",5.49,5:29,60.39,"Sunday, May 19th 2024, 11:30 AM","Sunday, May 19th 2024, 12:00 PM",0.5,0:30
Mia A.,"Monday, May 20th 2024, 2:12 PM","Monday, May 20th 2024, 7:00 PM",4.79,4:47,52.69,"Monday, May 20th 2024, 4:00 PM","Monday, May 20th 2024, 4:30 PM",0.5,0:30
Mia A.,"Tuesday, May 21st 2024, 9:32 AM","Tuesday, May 21st 2024, 3:07 PM",5.58,5:34,61.38,"Tuesday, May 21st 2024, 11:15 AM","Tuesday, May 21st 2024, 11:45 AM",0.5,0:30
Mia A.,"Wednesday, May 22nd 2024, 2:01 PM","Wednesday, May 22nd 2024, 6:58 PM",4.95,4:57,54.45,"Wednesday, May 22nd 2024, 4:00 PM","Wednesday, May 22nd 2024, 4:30 PM",0.5,0:30
Mia A.,"Thursday, May 23rd 2024, 1:51 PM","Thursday, May 23rd 2024, 7:04 PM",5.22,5:13,57.42,"Thursday, May 23rd 2024, 3:30 PM","Thursday, May 23rd 2024, 4:00 PM",0.5,0:30
Miguel Hernandez,"Friday, May 17th 2024, 9:55 AM","Friday, May 17th 2024, 3:00 PM",5.09,5:05,0,-,-,0,0:00
